bath,beds,year_built,elevation,sqft,price,price_per_sqft,city,group
2,3,1908,55,1546,1389000,898,San Francisco,3
2,2,1900,9,2150,1350000,628,New York,4
2,2,2007,7,808,779000,964,San Francisco,6
2,2,2004,10,957,1635000,1708,New York,
2.5,3,1928,160,1905,1388000,729,San Francisco,6
1.5,1,2000,9,1000,378551,379,San Francisco,1
2,3,1922,106,1483,1650000,1113,San Francisco,
1,3,1895,68,1465,1095000,747,San Francisco,6
1,1,1910,8,1102,935000,848,New York,3
1,1,2008,12,756,699000,925,San Francisco,
2,2,2005,2,1260,2498000,1983,New York,5
1,3,1900,35,1520,660000,434,San Francisco,4
1,1,2008,29,847,799000,943,San Francisco,6
1,1,1926,10,769,798000,1038,San Francisco,
2,2,1964,68,1100,1199000,1090,San Francisco,
2,3,1948,52,1665,899000,540,San Francisco,
1,2,1915,13,680,480000,706,San Francisco,1
1,1,1982,5,784,999000,1274,New York,
1,1,1966,69,791,529000,669,San Francisco,2
3,3,1989,90,2157,758000,351,San Francisco,3
2.3,4,1904,13,2492,1398000,561,San Francisco,5
4,4,1948,87,2347,1800000,767,San Francisco,
2,2,1906,10,2400,3995000,1665,New York,
1,1,1900,91,624,599000,960,San Francisco,
2,2,1907,54,1756,1895000,1079,San Francisco,4
2,2,1999,10,1569,2175000,1386,New York,1
2,2,1928,10,1200,2000000,1667,New York,2
2,3,1975,34,1474,725000,492,San Francisco,
2,2,2006,3,1113,895000,804,San Francisco,
2,1,1900,7,1300,1950000,1500,New York,3
3,3,2015,3,2500,6350000,2540,New York,
2,2,2008,0,1159,1298000,1120,San Francisco,5
1,1,2005,19,715,1135000,1587,New York,3
1,0,1900,10,387,545000,1408,New York,6
2,2,1920,10,2050,2200000,1073,New York,
2,2,2009,10,1135,1849000,1629,New York,
1,1,1941,70,875,739900,846,San Francisco,
1.5,2,1949,56,1348,749000,556,San Francisco,2
2,3,1956,216,1305,995000,762,San Francisco,
1,1,1963,12,700,835000,1193,New York,3
2,2,1984,46,988,989000,1001,San Francisco,
1,1,1900,27,450,535000,1189,New York,6
1,0,1910,11,375,325000,867,New York,
2,2,1982,24,1030,849000,824,San Francisco,
1,0,1988,9,500,699999,1400,New York,4
3,3,1907,23,1503,1245000,828,San Francisco,
2.5,3,2013,5,2075,2850000,1373,San Francisco,
1,1,1965,10,750,649000,865,New York,
3,3,1977,38,2100,1488888,709,San Francisco,
2,2,2016,11,1520,4895000,3220,New York,3
2,3,1907,33,1396,1195000,856,San Francisco,
1,1,1969,23,600,1200000,2000,New York,1
2,2,1920,10,1503,904000,601,New York,
1,1,2014,20,507,670000,1321,San Francisco,
5,4,2012,20,4476,17750000,3966,New York,
2,2,2002,15,2178,8690000,3990,New York,
2,2,1987,11,1250,1700000,1360,San Francisco,
1,2,1923,106,1045,695000,665,San Francisco,
2,2,2008,1,1620,1698000,1048,San Francisco,
2.5,2,1940,48,1809,2495000,1379,San Francisco,
1,1,1900,91,624,599000,960,San Francisco,
3,6,1926,52,2567,1600000,623,San Francisco,
1,2,1960,10,1000,999000,999,New York,3
1,2,1941,123,1254,599000,478,San Francisco,
2.5,3,1947,35,1400,799000,571,San Francisco,4
3,4,1968,163,2275,1388000,610,San Francisco,1
2,3,1880,10,3000,3580000,1193,New York,
1,1,1900,6,1093,1195000,1093,New York,
2.5,3,2008,23,2354,1995000,847,San Francisco,1
1,2,1954,24,1251,915000,731,San Francisco,
1,2,1941,63,1256,795000,633,San Francisco,
2.5,3,1981,139,2111,879000,416,San Francisco,
2,2,1973,14,1400,1599000,1142,New York,
2,2,1906,9,2400,3995000,1665,New York,2
2,2,1910,5,1887,3500000,1855,New York,3
2,2,2005,16,1330,1965000,1477,New York,2
1,1,1955,74,600,650000,1083,San Francisco,3
1,1,1987,3,826,1249000,1512,New York,6
2.5,3,1981,139,2111,879000,416,San Francisco,
2,2,2005,54,915,958000,1047,San Francisco,
5,4,1939,22,3700,12000000,3243,New York,
2.5,4,1915,62,2180,995000,456,San Francisco,2
1,1,2000,7,990,795000,803,San Francisco,5
2,3,1956,216,1305,995000,762,San Francisco,
2.5,3,2015,5,1391,929000,668,San Francisco,4
3,4,2001,0,2277,3895000,1711,New York,1
1,1,2016,10,1108,3105000,2802,New York,
2,2,1924,72,1320,649000,492,San Francisco,
3.5,4,2008,62,6024,9895000,1643,San Francisco,1
1,1,1900,70,811,725000,894,San Francisco,6
1,1,1900,10,450,535000,1189,New York,
2,2,1987,10,1695,4625000,2729,New York,4
3.5,3,1928,127,3258,2250000,691,San Francisco,4
1,1,1927,10,2275,1495000,657,San Francisco,3
1,0,1957,11,485,539000,1111,New York,1
2,3,1905,67,1457,1099000,754,San Francisco,3
2,2,2016,10,1520,4895000,3220,New York,2
2,3,2006,3,1362,1995000,1465,San Francisco,1
1,1,2004,10,768,1420000,1849,New York,5
1,1,1969,10,950,1760000,1853,New York,4
2,2,1937,7,1640,1650000,1006,San Francisco,2
3,3,2006,1,1991,2695000,1354,New York,6
1,1,2010,8,824,949000,1152,San Francisco,
1,0,1960,13,400,349000,873,New York,6
1,1,2011,14,674,649000,963,San Francisco,6
2.5,3,2015,5,1391,899000,646,San Francisco,
2,2,1909,54,1700,875000,515,San Francisco,1
1,1,1907,32,720,650000,903,New York,1
5,5,2014,108,5000,2990000,598,San Francisco,5
1,1,1955,74,600,650000,1083,San Francisco,6
2,4,1951,131,2050,1798000,877,San Francisco,6
1,0,1910,15,330,307000,930,New York,
2,2,2016,15,1741,4240000,2435,New York,
1,2,1925,73,700,365000,521,New York,6
1,1,1900,19,1076,499000,464,San Francisco,
2,4,1949,11,1550,699000,451,San Francisco,2
1,3,1940,66,1325,648800,490,San Francisco,1
2,2,2004,5,1453,1299000,894,San Francisco,2
2,2,1913,35,1174,1495000,1273,San Francisco,
2,2,2016,10,2018,6525000,3233,New York,3
2,2,2012,8,1420,3159990,2225,New York,6
2,2,2000,6,1258,950000,755,San Francisco,
2.5,3,2015,143,2133,1294000,607,San Francisco,
2,2,2016,10,1741,4240000,2435,New York,
2,3,1948,52,1665,899000,540,San Francisco,3
1,1,1900,10,1093,1195000,1093,New York,1
3,3,1925,91,2633,1100000,418,San Francisco,
2,2,1912,53,950,879000,925,San Francisco,
3,3,1993,62,2233,1575000,705,San Francisco,
2,2,1916,31,1380,767000,556,San Francisco,
2,1,1998,6,1086,1088000,1002,San Francisco,3
2,3,1940,227,1603,989000,617,San Francisco,
2,2,2006,12,1225,1675000,1367,New York,
1,0,2009,6,546,775000,1419,New York,3
2,3,1892,41,1809,1399000,773,San Francisco,1
2,2,2005,16,1144,1725000,1508,New York,6
1,2,1942,61,707,599000,847,San Francisco,5
4,4,2006,10,3321,4300000,1295,San Francisco,
2,3,1926,77,1675,1295000,773,San Francisco,
2,3,1999,23,2075,7350000,3542,New York,4
5,5,2016,15,4972,19000000,3821,New York,
1,2,1908,84,1158,875000,756,San Francisco,
1,1,2007,6,720,1250000,1736,New York,1
7,8,1910,9,4180,2300000,550,New York,2
1.3,2,1904,14,1493,1097000,735,San Francisco,
1,2,1944,41,995,699000,703,San Francisco,
1,1,1958,10,1000,1319000,1319,New York,
1,1,1910,14,475,399000,840,New York,2
2,2,1931,36,1300,1350000,1038,New York,2
3,5,1939,97,1846,950000,515,San Francisco,2
1,1,1920,10,500,475000,950,New York,1
4,4,1923,21,3200,5500000,1719,New York,2
3.5,5,1966,176,2769,1698000,613,San Francisco,
2,2,1987,24,1600,2900000,1813,New York,3
1,0,1932,18,500,469000,938,New York,
1,2,1949,64,1050,699000,666,San Francisco,
2,2,1978,139,1555,849000,546,San Francisco,
3,3,2016,10,3007,10225000,3400,New York,5
2,2,1996,17,1044,1995000,1911,New York,
1.5,1,1997,3,1453,899000,619,San Francisco,4
2.5,4,1907,75,2746,2549000,928,San Francisco,4
1,0,1924,10,546,850000,1557,New York,
2,2,1900,10,1000,1185000,1185,New York,6
3,3,2015,3,2500,6550000,2620,New York,
1,1,1961,16,720,695000,965,New York,
1,2,1907,14,1200,699000,583,San Francisco,
1,1,1963,5,1000,1750000,1750,New York,
1,2,1938,36,1150,799000,695,San Francisco,4
3,4,2001,61,2041,1895000,928,San Francisco,
1,1,1903,9,500,629000,1258,New York,4
2,2,1962,89,1850,1680000,908,San Francisco,3
2,2,1925,50,1518,2000000,1318,San Francisco,2
2,3,1900,26,2950,1750000,593,San Francisco,2
5,4,2016,10,3699,13750000,3717,New York,6
1,1,1920,10,500,450000,900,New York,4
1,1,1961,56,680,599000,881,San Francisco,
3,3,2016,15,2017,4875000,2417,New York,5
2,3,1967,102,1824,535000,293,San Francisco,
6.5,6,1937,3,5420,9500000,1753,San Francisco,4
2,3,1924,83,1450,1250000,862,San Francisco,
2,3,1989,185,1524,1080000,709,San Francisco,5
1,1,1960,11,750,615000,820,New York,
1,1,1988,16,670,869000,1297,New York,
2,3,1926,66,1800,1799000,999,San Francisco,
3,3,1975,79,1555,888000,571,San Francisco,5
1,1,1962,10,725,515000,710,New York,
4,4,1900,75,3816,2650000,694,San Francisco,6
2,3,1914,49,1954,1080000,553,San Francisco,
1,2,1925,73,700,365000,521,New York,4
2.5,3,1976,163,1959,995000,508,San Francisco,
1,3,1925,141,1752,1319000,753,San Francisco,5
2,3,1929,73,2323,2395000,1031,San Francisco,
3,4,1890,102,1789,1698000,949,San Francisco,
2,2,1973,10,1400,1599000,1142,New York,5
4,6,1937,79,1965,1198000,610,San Francisco,1
2,2,1986,23,1463,3500000,2392,New York,5
2.5,2,2000,5,1136,850000,748,San Francisco,
2.5,3,2008,23,2354,1995000,847,San Francisco,5
3,3,2016,10,2017,4875000,2417,New York,4
2,2,2014,18,1240,2650000,2137,New York,
1,0,2013,8,501,835000,1667,New York,
1,1,1955,74,600,775000,1292,San Francisco,5
1,2,1913,108,900,699000,777,San Francisco,3
3.5,5,1905,59,3350,3995000,1193,San Francisco,
1,2,1921,12,1000,1895000,1895,New York,
1,1,2004,4,903,788000,873,San Francisco,
7,7,1994,10,4238,19500000,4601,New York,1
3,3,2005,8,1353,1850000,1367,New York,2
1,1,2015,7,714,1595000,2234,New York,5
1,2,1913,108,900,699000,777,San Francisco,
2,2,2007,13,1384,2750000,1987,New York,
2,3,1964,48,1250,699000,559,San Francisco,
5.5,5,1921,73,4310,3495000,811,San Francisco,
2,1,2007,23,839,1850000,2205,New York,
2,1,1900,5,1500,1699000,1133,New York,2
1,1,2004,11,794,1550000,1952,New York,
2,3,1942,34,1441,688000,477,San Francisco,6
1,2,1939,39,1049,545000,520,New York,5
1,0.5,1962,10,540,384900,713,New York,
2,2,2011,23,1504,4250000,2826,New York,
2,3,1940,42,1500,848000,565,San Francisco,
2,2,2002,7,1173,1600000,1364,San Francisco,
3,3,1931,10,4435,14950000,3371,New York,
2,2,1909,56,1302,1200000,922,San Francisco,
2.5,2,1900,76,1968,3495000,1776,San Francisco,
2,3,1937,112,1635,1495000,914,San Francisco,
1,1,1920,5,1400,1849000,1321,New York,1
1,1,1969,17,950,1760000,1853,New York,
1,1,1920,41,989,740200,748,San Francisco,
1.5,1,1996,13,1127,849000,753,San Francisco,
2,3,1908,55,1546,1389000,898,San Francisco,
1,1,2011,35,669,499999,747,New York,3
3.5,3,1900,75,2449,1799000,735,San Francisco,
1,0,1902,23,310,485000,1565,New York,
2,2,2008,5,1373,2059500,1500,New York,
3,3,2016,15,2196,5750000,2618,New York,
1,1,1910,10,1102,935000,848,New York,
1,2,1908,98,1700,1495000,879,San Francisco,
2,2,1928,19,850,799000,940,New York,
1,1,2012,10,749,1285000,1716,New York,4
1,1,1983,163,850,649000,764,San Francisco,
1,1,1929,25,800,649000,811,New York,
3,4,1940,119,2330,1338800,575,San Francisco,2
1,0,1930,10,500,439000,878,New York,5
3,2,1925,12,3200,2999000,937,New York,
2,2,1920,10,1503,904000,601,New York,
1,1,1930,10,900,975000,1083,New York,5
1,1,2002,80,667,439000,658,San Francisco,
1,1,1900,70,811,725000,894,San Francisco,4
2,3,1909,57,1877,1395000,743,San Francisco,
